D_start,D_end,duration,pic_acc,pic_down,t_acc_frac,d_stroke,speed_moy,auc_pos,auc_neg,auc_abs,rfd,jerk_rms,pos_pic_pct,fwhm_s,sym_ratio,athlete
2686.02371,2687.40645,0.48010199999998804,5.37519217,-5.3304038,0.7551020408163265,1.3827400000000125,8.290248457755101,1.0890167277784837,-0.3081433050265172,1.3971600328050011,48.81789686397252,78.10944510084073,22.448979591836736,0.17993200000000797,0.28295552966859155,Bavenkoff Viktor
2687.43523,2688.98027,0.5299070000000938,8.4403162,-4.77324057,0.6851851851851852,1.5450399999999718,9.881906312222224,1.0969605244370169,-0.2394040177404984,1.3363645421775152,32.47674459766706,120.38027173403084,48.148148148148145,0.1400149999999485,0.21824305652508832,Bavenkoff Viktor
2689.0177,2690.81643,0.4799799999998413,5.66447592,-3.60542941,0.673469387755102,1.7987299999999777,11.508023093877553,0.7683110361740737,-0.18037205258112515,0.9486830887551989,37.75713165892693,102.40281904083422,30.612244897959183,0.11999600000012833,0.23476436506667445,Bavenkoff Viktor
2690.85387,2692.46542,0.4300539999999273,8.10203266,-4.28478765,0.6590909090909091,1.6115500000000793,12.932208699999997,0.8801077216269092,-0.28113518463493375,1.1612429062618428,35.229139189766435,120.89054867423788,52.27272727272727,0.10998600000016268,0.3194326986647109,Bavenkoff Viktor
2692.50286,2694.52185,0.469970000000103,4.03570175,-2.56878519,0.6666666666666666,2.0189900000000307,14.243755254166667,0.6973878097529677,-0.20297770888419386,0.9003655186371616,15.521392528715273,75.29887721141924,54.166666666666664,0.2700190000000475,0.2910542829191317,Bavenkoff Viktor
2694.56778,2696.49858,0.42004399999996167,6.5231719,-2.93653083,0.6046511627906976,1.9308000000000902,15.370468720930235,0.6996258823468553,-0.16974143782853923,0.8693673201753946,28.364083398575968,89.99507150791632,53.48837209302325,0.11999500000001717,0.24261743613479708,Bavenkoff Viktor
2696.54451,2698.76254,0.4700920000000224,3.41082406,-3.47811079,0.6458333333333334,2.218029999999999,16.250957970833333,0.5854069008244932,-0.2090576261065124,0.7944645269310057,14.823096105206288,57.64361536756692,47.91666666666667,0.22998099999995247,0.357115069556019,Bavenkoff Viktor
2698.81295,2700.98259,0.429932000000008,5.59817982,-3.49690413,0.5227272727272727,2.169640000000072,16.976493022727272,0.5584994178344305,-0.19470485547208813,0.7532042733065185,23.326721196713194,87.20414081547973,54.54545454545454,0.11010699999997087,0.3486214116875037,Bavenkoff Viktor
2701.03319,2703.30409,0.45007299999997485,3.99764752,-2.22532058,0.6086956521739131,2.2708999999999833,17.590451047826086,0.5588274878287048,-0.21750782167885319,0.776335309507558,18.173603309552483,76.06849032091567,47.82608695652174,0.13000399999987167,0.3892217659585224,Bavenkoff Viktor
2703.35451,2705.66896,0.4400630000000092,3.63493752,-3.05225492,0.6444444444444445,2.3144499999998516,18.127416651111112,0.46355547250773943,-0.19986080062357664,0.6634162731313161,15.79707051655435,54.94233963050107,51.11111111111111,0.09997599999996964,0.43114753783915216,Bavenkoff Viktor
2705.72193,2708.10738,0.4499510000000555,3.78982234,-2.24830008,0.5217391304347826,2.3854499999997643,18.545792582608698,0.4878214322618787,-0.2027793570681195,0.6906007893299982,14.035391361346177,58.74793628696161,58.69565217391305,0.1999519999999393,0.4156835752949469,Bavenkoff Viktor
2708.16054,2710.65863,0.46996999999987565,5.29315662,-2.46309948,0.5416666666666666,2.4980900000000474,18.8231614125,0.577562765737164,-0.2236073824728247,0.8011701482099886,21.17262648,61.20139208716799,52.083333333333336,0.10998500000005151,0.3871568524460308,Bavenkoff Viktor
2710.71188,2713.05746,0.440063999999893,3.15164375,-2.80951476,0.6444444444444445,2.3455800000001545,18.996332242222223,0.4361841559624342,-0.2517427377536464,0.6879268937160806,16.582013163996205,48.898031866776556,42.22222222222222,0.15002499999991414,0.5771478269268622,Bavenkoff Viktor
2713.11071,2715.56738,0.45996100000002116,4.9668355,-2.3882916,0.5106382978723404,2.456670000000031,19.104676842553193,0.5538882454489812,-0.2921596924143507,0.846047937863332,26.149221867731676,66.88382970618554,40.42553191489361,0.11999500000001717,0.5274704686638121,Bavenkoff Viktor
2715.62269,2718.28007,0.4799809999999525,3.69510198,-2.37413335,0.6122448979591837,2.657379999999648,19.176643044897958,0.4206632954386939,-0.1963755978238685,0.6170388932625623,12.740017652799347,51.51110673819774,59.183673469387756,0.08996600000000399,0.46682370426227887,Bavenkoff Viktor
2718.33586,2720.82709,0.4499519999999393,4.11978674,-2.36457968,0.4782608695652174,2.491230000000087,19.223417110869566,0.49207412459499017,-0.2489599502673025,0.7410340748622926,17.913596079679852,63.19437813437705,50.0,0.13000499999998283,0.5059399342979336,Bavenkoff Viktor
2720.88241,2723.37528,0.47009300000013354,3.12103391,-2.58542728,0.5208333333333334,2.492870000000039,19.25278498333333,0.4087700032536542,-0.23466507589999244,0.6434350791536466,9.751128381689554,53.28499607531653,66.66666666666666,0.21008300000016789,0.5740760673047127,Bavenkoff Viktor
2723.42772,2725.73787,0.43994100000008984,4.59286165,-2.66584802,0.4666666666666667,2.310149999999794,19.27520567777778,0.5723106268584832,-0.3201836916063948,0.8924943184648783,19.970700278279104,56.79783015124242,51.11111111111111,0.13000499999998283,0.5594578828003617,Bavenkoff Viktor
2725.79031,2728.31613,0.4799799999998413,3.74957776,-1.97417402,0.4897959183673469,2.5258200000002944,19.291632202040816,0.4305377505411813,-0.28982700558601504,0.7203647561271964,13.886296422490757,57.990187109090016,55.10204081632652,0.1400149999999485,0.6731744317930439,Bavenkoff Viktor
2728.36886,2730.79666,0.45996100000002116,4.88333702,-1.77844584,0.40425531914893614,2.427799999999934,19.287169089361704,0.5284633222232722,-0.22482722396120486,0.753290546184477,19.53334808,59.49416230372936,53.191489361702125,0.11999599999990096,0.42543581457147345,Bavenkoff Viktor
2730.8494,2733.4947,0.5,2.38906741,-1.42765701,0.5882352941176471,2.645300000000134,19.23694655882353,0.40208563899406263,-0.21668621268067853,0.618771851674741,10.388152926348589,33.642331855932234,45.09803921568628,0.22998000000006869,0.5389056252364144,Bavenkoff Viktor
2733.54865,2736.07754,0.46996999999987565,3.79928565,-3.01739049,0.625,2.5288900000000467,19.16162904375,0.4053626342646257,-0.24012053094186142,0.6454831652064872,29.224150224995206,63.799750492076384,27.083333333333332,0.15002399999980298,0.5923598048879557,Bavenkoff Viktor
2736.1313,2738.7679,0.48998999999980697,3.12490177,-1.98850417,0.54,2.6365999999998166,19.114585836,0.3838650456201021,-0.19299463701664868,0.5768596826367508,10.774074417579111,40.86836582171844,57.99999999999999,0.21997099999998682,0.5027668948207615,Bavenkoff Viktor
